ticker,company_name,fiscal_year,revenue_billions,cost_of_revenue_billions,gross_profit_billions,operating_income_billions,net_income_billions,interest_expense_millions,eps_basic_usd,eps_diluted_usd,total_assets_billions,current_assets_billions,total_liabilities_billions,current_liabilities_billions,stockholders_equity_billions,cash_and_equivalents_billions,short_term_investments_billions,accounts_receivable_billions,long_term_debt_billions,inventory_billions,roe,roa,gross_margin,net_margin,operating_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,equity_turnover
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2021,57.714,26.181,31.533,NA,9.431,1344.0,10.63,10.56,152.186,39.165,135.244,39.869,20.597,13.188,0.024,5.79,54.217,1.812,0.457882,0.06197,0.546367,0.163409,NA,0.982342,0.936893,6.566199,0.888676,NA,0.379233,2.802059
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2020,79.591,42.655,36.936,0.287,8.728,723.0,9.57,9.52,123.382,38.42,131.202,37.701,20.841,8.172,0.038,7.87,54.102,1.619,0.41879,0.07074,0.464073,0.109661,0.003606,1.019071,0.976128,6.295379,1.06338,0.396957,0.645078,3.818963
INTC,INTEL CORPORATION,2025,54.228,32.517,21.711,0.093,1.689,878.0,0.4,0.4,196.485,47.324,196.485,35.666,99.27,8.249,0.848,3.478,46.282,12.198,0.017014,0.008596,0.400365,0.031146,0.001715,1.326866,0.98486,1.979299,1.0,0.105923,0.275991,0.546268
INTC,INTEL CORPORATION,2024,63.054,36.188,26.866,2.334,8.014,496.0,1.95,1.94,191.572,43.269,191.572,28.053,105.59,4.827,1.194,3.402,46.978,11.127,0.075897,0.041833,0.426079,0.127097,0.037016,1.542402,1.14576,1.814301,1.0,4.705645,0.32914,0.597159
INTC,INTEL CORPORATION,2023,79.024,35.209,43.815,19.456,19.868,597.0,4.89,4.86,182.103,50.407,182.103,32.155,101.423,5.865,1.341,4.133,37.684,13.224,0.195892,0.109103,0.554452,0.251417,0.246204,1.567626,1.156368,1.79548,1.0,32.589615,0.433952,0.779153
INTC,INTEL CORPORATION,2022,77.867,34.255,43.612,23.678,20.899,629.0,4.98,4.94,168.406,58.558,168.406,27.462,95.391,4.194,2.171,9.457,33.51,10.776,0.219088,0.124099,0.560083,0.268394,0.304083,2.132328,1.739932,1.765429,1.0,37.643879,0.462377,0.816293
INTC,INTEL CORPORATION,2021,71.965,29.825,42.14,22.035,21.048,489.0,4.77,4.71,153.091,47.249,153.091,24.754,74.563,3.019,1.83,6.782,33.897,8.427,0.282285,0.137487,0.585562,0.292476,0.306191,1.908742,1.568312,2.053177,1.0,45.06135,0.47008,0.965157
INTC,INTEL CORPORATION,2020,70.848,27.111,43.737,23.316,21.053,468.0,4.57,4.48,136.524,31.239,136.524,22.31,69.653,3.433,0.45,7.659,25.308,8.744,0.302255,0.154207,0.617336,0.297157,0.329099,1.400224,1.008292,1.960059,1.0,49.820513,0.518942,1.017156
INTU,INTUIT INC.,2025,14.368,0.163,14.205,3.141,2.384,248.0,8.49,8.42,32.132,9.678,13.696,7.491,16.441,2.848,0.465,0.457,5.539,0.0,0.145003,0.074194,0.988655,0.165924,0.218611,1.29195,1.29195,0.833039,0.426242,12.665323,0.447155,0.873913
INTU,INTUIT INC.,2024,12.726,0.14,12.586,2.571,2.066,81.0,7.38,7.28,27.78,5.557,10.511,3.79,9.869,2.796,0.814,0.405,6.12,0.0,0.209342,0.07437,0.988999,0.162345,0.202027,1.466227,1.466227,1.065052,0.378366,31.740741,0.458099,1.289492
INTU,INTUIT INC.,2023,9.633,0.05,9.583,2.5,2.062,29.0,7.65,7.56,27.734,5.047,11.293,3.63,5.106,2.562,0.485,0.446,6.415,0.0,0.403839,0.074349,0.99481,0.214056,0.259525,1.390358,1.390358,2.211712,0.40719,86.206897,0.347335,1.886604
INTU,INTUIT INC.,2022,7.679,0.022,7.657,2.176,1.826,14.0,6.99,6.92,15.516,5.157,5.647,2.655,3.749,6.442,1.308,0.391,2.034,0.0,0.487063,0.117685,0.997135,0.237791,0.28337,1.942373,1.942373,1.506268,0.363947,155.428571,0.494908,2.04828
INTU,INTUIT INC.,2021,6.784,0.02,6.764,1.854,1.557,15.0,5.99,5.89,10.931,7.98,5.825,3.529,2.816,2.116,0.608,0.149,2.031,0.0,0.552912,0.142439,0.997052,0.229511,0.27329,2.261264,2.261264,2.068537,0.532888,123.6,0.62062,2.409091
INTU,INTUIT INC.,2020,6.025,0.247,5.778,1.56,1.329,20.0,5.18,5.09,6.283,3.594,2.534,1.966,1.699,1.464,0.624,0.087,0.386,0.0,0.782225,0.211523,0.959004,0.220581,0.258921,1.828077,1.828077,1.491466,0.403311,78.0,0.958937,3.546204
META,"Meta Platforms, Inc.",2025,134.902,25.959,108.943,46.751,39.098,420.0,15.19,14.87,276.054,100.045,93.417,33.596,125.713,41.862,33.926,16.994,28.826,0.0,0.31101,0.141632,0.807571,0.289825,0.346555,2.977884,2.977884,0.743097,0.338401,111.311905,0.48868,1.073095
META,"Meta Platforms, Inc.",2024,116.609,25.249,91.36,28.944,23.2,160.0,8.63,8.59,229.623,85.365,76.455,31.96,124.879,14.681,23.541,16.169,18.385,0.0,0.18578,0.101035,0.783473,0.198955,0.248214,2.670995,2.670995,0.612233,0.332959,180.9,0.507828,0.933776
META,"Meta Platforms, Inc.",2023,117.929,22.649,95.28,46.753,39.37,23.0,13.99,13.77,185.727,59.549,60.014,27.026,128.29,16.601,26.057,13.466,9.923,0.0,0.306883,0.211978,0.807944,0.333845,0.39645,2.203397,2.203397,0.4678,0.32313,2032.73913,0.634959,0.919238
META,"Meta Platforms, Inc.",2022,85.965,16.692,69.273,32.671,29.146,672.0,10.22,10.09,165.987,66.666,41.108,21.135,101.054,17.576,31.397,14.039,0.0,0.0,0.28842,0.175592,0.805828,0.339045,0.38005,3.154294,3.154294,0.406792,0.247658,48.61756,0.517902,0.850684
META,"Meta Platforms, Inc.",2021,70.697,12.77,57.927,23.986,18.485,904.0,6.48,6.43,159.316,75.67,31.026,14.981,84.127,19.079,44.378,11.335,0.0,0.0,0.219727,0.116027,0.81937,0.261468,0.339279,5.051065,5.051065,0.3688,0.194745,26.533186,0.443753,0.84036
META,"Meta Platforms, Inc.",2020,55.838,9.355,46.483,24.913,22.112,652.0,7.65,7.57,133.376,66.225,32.322,15.053,74.347,10.019,35.776,9.518,0.0,0.0,0.297416,0.165787,0.832462,0.396003,0.446166,4.399455,4.399455,0.434745,0.242337,38.210123,0.418651,0.751046
MSFT,MICROSOFT CORPORATION,2025,211.915,65.863,146.052,88.523,72.361,1968.0,9.72,9.68,512.163,159.734,243.686,125.286,206.223,18.315,57.228,56.924,42.688,1.246,0.350887,0.141285,0.689201,0.341462,0.417729,1.274955,1.26501,1.181663,0.475798,44.981199,0.413765,1.027601
MSFT,MICROSOFT CORPORATION,2024,198.27,62.65,135.62,83.383,72.738,2063.0,9.7,9.65,411.976,184.257,205.753,104.149,166.542,34.704,76.558,48.688,41.99,2.5,0.436755,0.176559,0.684017,0.366863,0.420553,1.769167,1.745163,1.235442,0.49943,40.418323,0.481266,1.190511
MSFT,MICROSOFT CORPORATION,2023,168.088,52.232,115.856,69.916,61.271,2346.0,8.12,8.05,364.84,169.684,198.298,95.082,141.988,13.931,90.826,44.261,47.032,3.742,0.431522,0.167939,0.689258,0.364517,0.415949,1.784607,1.745251,1.396583,0.54352,29.802217,0.460717,1.183818
MSFT,MICROSOFT CORPORATION,2022,143.015,46.078,96.937,52.959,44.281,2591.0,5.82,5.76,333.779,184.406,191.791,88.657,118.304,14.224,116.11,38.043,50.074,2.636,0.374298,0.132666,0.67781,0.309625,0.370304,2.079994,2.050261,1.621171,0.574605,20.439599,0.428472,1.208877
MSFT,MICROSOFT CORPORATION,2021,125.843,42.91,82.933,42.959,39.24,2686.0,5.11,5.06,301.311,181.915,183.007,72.31,102.33,13.576,122.951,32.011,59.578,1.895,0.383465,0.130231,0.65902,0.311817,0.34137,2.515765,2.489559,1.7884,0.607369,15.993671,0.417652,1.229776
MSFT,MICROSOFT CORPORATION,2020,110.36,38.353,72.007,35.058,16.571,2733.0,2.15,2.13,286.556,175.552,184.226,69.42,82.718,11.356,122.463,29.524,66.662,2.063,0.200331,0.057828,0.652474,0.150154,0.317669,2.528839,2.499121,2.227157,0.642897,12.827662,0.385125,1.334172
NFLX,NETFLIX INC,2025,33.723297,19.715368,14.007929,6.954003,5.40799,699.826,1.22,1.2,53.630374,13.100379,28.886807,10.7554,20.777401,7.804733,1.779006,1.749412,13.798351,0.0,0.260282,0.100838,0.415378,0.160364,0.206208,1.218028,1.218028,1.390299,0.538628,9.93676,0.62881,1.623076
NFLX,NETFLIX INC,2024,31.61555,19.168285,12.447265,5.632831,4.491924,706.212,10.1,9.95,48.731992,9.918133,28.143679,8.860655,15.849248,7.116913,0.020973,1.084257,14.143417,0.0,0.283416,0.092176,0.393707,0.14208,0.178166,1.119345,1.119345,1.775711,0.57752,7.976119,0.648764,1.994767
