ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
GOOGL,ALPHABET INC.,2023,257637000000,76033000000,146698000000,78714000000.0,110939000000,346000000.0,5.69,5.61,365264000000,109120000000.0,222544000000,164795000000,69300000000,21879000000,91883000000.0,40258000000,14862000000.0,
GOOGL,ALPHABET INC.,2022,182527000000,40269000000,97795000000,41224000000.0,84732000000,135000000.0,2.96,2.93,359268000000,107633000000.0,201442000000,188143000000,64254000000,20945000000,118704000000.0,39304000000,15312000000.0,1170000000.0
GOOGL,ALPHABET INC.,2021,161857000000,34343000000,89961000000,34231000000.0,71896000000,100000000.0,49.59,49.16,319616000000,97072000000.0,177628000000,174296000000,56834000000,26465000000,110229000000.0,30930000000,15440000000.0,728000000.0
GOOGL,ALPHABET INC.,2020,136819000000,30736000000,77270000000,27524000000.0,59549000000,114000000.0,44.22,43.7,275909000000,74467000000.0,152502000000,152578000000,45221000000,18498000000,101177000000.0,25326000000,15319000000.0,999000000.0
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2025,61860000000,7502000000,34300000000,,27560000000,1607000000.0,8.23,8.14,137175000000,109783000000.0,27307000000,34482000000,33142000000,13947000000,9000000.0,6804000000,49884000000.0,1289000000.0
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2024,60530000000,1639000000,32687000000,,27842000000,1216000000.0,1.82,1.8,135241000000,112628000000.0,22533000000,32908000000,34122000000,13068000000,7000000.0,7214000000,50121000000.0,1161000000.0
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2023,57350000000,5743000000,31486000000,,25865000000,1155000000.0,6.41,6.35,127243000000,105222000000.0,21944000000,29118000000,31505000000,7886000000,21000000.0,6541000000,46189000000.0,1552000000.0
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2022,55179000000,5590000000,30865000000,,24314000000,1288000000.0,6.28,6.23,155971000000,113005000000.0,18901000000,29539000000,33619000000,6650000000,28000000.0,6754000000,44917000000.0,1649000000.0
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2021,57714000000,9431000000,31533000000,,26181000000,1344000000.0,10.63,10.56,152186000000,135244000000.0,20597000000,39165000000,39869000000,13188000000,24000000.0,5790000000,54217000000.0,1812000000.0
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2020,79591000000,8728000000,36936000000,287000000.0,42655000000,723000000.0,9.57,9.52,123382000000,131202000000.0,20841000000,38420000000,37701000000,8172000000,38000000.0,7870000000,54102000000.0,1619000000.0
INTC,INTEL CORPORATION,2025,54228000000,1689000000,21711000000,93000000.0,32517000000,878000000.0,0.4,0.4,196485000000,,99270000000,47324000000,35666000000,8249000000,848000000.0,3478000000,46282000000.0,12198000000.0
INTC,INTEL CORPORATION,2024,63054000000,8014000000,26866000000,2334000000.0,36188000000,496000000.0,1.95,1.94,191572000000,,105590000000,43269000000,28053000000,4827000000,1194000000.0,3402000000,46978000000.0,11127000000.0
INTC,INTEL CORPORATION,2023,79024000000,19868000000,43815000000,19456000000.0,35209000000,597000000.0,4.89,4.86,182103000000,,101423000000,50407000000,32155000000,5865000000,1341000000.0,4133000000,37684000000.0,13224000000.0
INTC,INTEL CORPORATION,2022,77867000000,20899000000,43612000000,23678000000.0,34255000000,629000000.0,4.98,4.94,168406000000,,95391000000,58558000000,27462000000,4194000000,2171000000.0,9457000000,33510000000.0,10776000000.0
